policy,seed,round,student,phase,teacher,teacher_acc,lr,pre_acc,pre_loss,post_acc,post_loss,cf_teacher,cf_teacher_start_acc,cf_teacher_acc,cf_acc,cf_loss,pre_train_acc,pre_train_loss,d_acc,d_loss,window
mwm_accdiff_all_ce_cf,1,35,6,ce,,,0.1,74.77999925613403,0.7834010720252991,72.87999987602234,0.783761203289032,2.0,76.34000182151794,76.34000182151794,76.74000263214111,0.7198498249053955,,,-1.8999993801116943,0.00036013126373291016,21-40
mwm_accdiff_all_ce_cf,1,35,7,ce_peer,5.0,76.08000040054321,0.1,74.18000102043152,0.7710391879081726,75.70000290870667,0.7407724261283875,,,,,,,,1.5200018882751465,-0.030266761779785156,21-40
mwm_accdiff_all_ce_cf,1,35,1,ce_peer,9.0,75.37999749183655,0.1,72.15999960899353,0.8326517343521118,75.44000148773193,0.7397322058677673,,,,,,,,3.2800018787384033,-0.09291952848434448,21-40
mwm_accdiff_all_ce_cf,1,36,6,ce_peer,2.0,76.34000182151794,0.1,72.87999987602234,0.783761203289032,74.1599977016449,0.7687585353851318,,,,,,,,1.2799978256225586,-0.015002667903900146,21-40
mwm_accdiff_all_ce_cf,1,36,3,ce,,,0.1,75.67999958992004,0.7431996464729309,75.19999742507935,0.7314403653144836,2.0,76.34000182151794,76.34000182151794,74.5199978351593,0.744727611541748,,,-0.48000216484069824,-0.011759281158447266,21-40
mwm_accdiff_all_ce_cf,1,36,1,ce_peer,4.0,75.90000033378601,0.1,75.44000148773193,0.7397322058677673,76.13999843597412,0.6932306885719299,,,,,,,,0.6999969482421875,-0.0465015172958374,21-40
mwm_accdiff_all_ce_cf,1,36,9,ce_peer,7.0,75.70000290870667,0.1,75.37999749183655,0.7059664130210876,72.8600025177002,0.8470445275306702,,,,,,,,-2.5199949741363525,0.14107811450958252,21-40
mwm_accdiff_all_ce_cf,1,36,8,ce_peer,5.0,76.08000040054321,0.1,73.94000291824341,0.7849829196929932,75.08000135421753,0.72197425365448,,,,,,,,1.139998435974121,-0.06300866603851318,21-40
mwm_accdiff_all_ce_cf,1,37,7,ce,,,0.1,75.70000290870667,0.7407724261283875,73.90000224113464,0.7610108852386475,2.0,76.34000182151794,76.34000182151794,77.17999815940857,0.7066766619682312,,,-1.8000006675720215,0.02023845911026001,21-40
mwm_accdiff_all_ce_cf,1,37,3,ce_peer,4.0,75.90000033378601,0.1,75.19999742507935,0.7314403653144836,75.77999830245972,0.7170050144195557,,,,,,,,0.5800008773803711,-0.014435350894927979,21-40
mwm_accdiff_all_ce_cf,1,37,6,ce_peer,2.0,76.34000182151794,0.1,74.1599977016449,0.7687585353851318,76.26000046730042,0.7287174463272095,,,,,,,,2.1000027656555176,-0.04004108905792236,21-40
mwm_accdiff_all_ce_cf,1,37,9,ce_peer,1.0,76.13999843597412,0.1,72.8600025177002,0.8470445275306702,74.86000061035156,0.7434216141700745,,,,,,,,1.9999980926513672,-0.1036229133605957,21-40
mwm_accdiff_all_ce_cf,1,37,8,ce_peer,5.0,76.08000040054321,0.1,75.08000135421753,0.72197425365448,76.09999775886536,0.7205129861831665,,,,,,,,1.0199964046478271,-0.0014612674713134766,21-40
mwm_accdiff_all_ce_cf,1,38,3,ce_peer,8.0,76.09999775886536,0.1,75.77999830245972,0.7170050144195557,74.01999831199646,0.7590319514274597,,,,,,,,-1.7599999904632568,0.04202693700790405,21-40
mwm_accdiff_all_ce_cf,1,38,9,ce_peer,6.0,76.26000046730042,0.1,74.86000061035156,0.7434216141700745,75.1200020313263,0.7318977117538452,,,,,,,,0.26000142097473145,-0.011523902416229248,21-40
mwm_accdiff_all_ce_cf,1,38,7,ce_peer,2.0,76.34000182151794,0.1,73.90000224113464,0.7610108852386475,76.62000060081482,0.6832463145256042,,,,,,,,2.719998359680176,-0.07776457071304321,21-40
mwm_accdiff_all_ce_cf,1,38,5,ce,,,0.1,76.08000040054321,0.7155782580375671,74.4599997997284,0.7594303488731384,2.0,76.34000182151794,76.34000182151794,74.90000128746033,0.7615252733230591,,,-1.6200006008148193,0.04385209083557129,21-40
mwm_accdiff_all_ce_cf,1,38,4,ce_peer,1.0,76.13999843597412,0.1,75.90000033378601,0.7206219434738159,77.66000032424927,0.6806633472442627,,,,,,,,1.7599999904632568,-0.03995859622955322,21-40
mwm_accdiff_all_ce_cf,1,39,9,ce_peer,4.0,77.66000032424927,0.1,75.1200020313263,0.7318977117538452,77.70000100135803,0.6756117343902588,,,,,,,,2.5799989700317383,-0.056285977363586426,21-40
mwm_accdiff_all_ce_cf,1,39,3,ce_peer,7.0,76.62000060081482,0.1,74.01999831199646,0.7590319514274597,76.38000249862671,0.70525062084198,,,,,,,,2.360004186630249,-0.053781330585479736,21-40
mwm_accdiff_all_ce_cf,1,39,1,ce_peer,6.0,76.26000046730042,0.1,76.13999843597412,0.6932306885719299,75.73999762535095,0.7116967439651489,,,,,,,,-0.40000081062316895,0.018466055393218994,21-40
mwm_accdiff_all_ce_cf,1,39,8,ce,,,0.1,76.09999775886536,0.7205129861831665,75.55999755859375,0.7086912393569946,4.0,77.66000032424927,77.66000032424927,76.57999992370605,0.7289575934410095,,,-0.5400002002716064,-0.011821746826171875,21-40
mwm_accdiff_all_ce_cf,1,39,5,ce_peer,2.0,76.34000182151794,0.1,74.4599997997284,0.7594303488731384,72.93999791145325,0.8056460022926331,,,,,,,,-1.5200018882751465,0.04621565341949463,21-40
mwm_accdiff_all_ce_cf,1,40,8,ce_peer,4.0,77.66000032424927,0.1,75.55999755859375,0.7086912393569946,74.68000054359436,0.7148033976554871,,,,,,,,-0.8799970149993896,0.006112158298492432,21-40
mwm_accdiff_all_ce_cf,1,40,6,ce,,,0.1,76.26000046730042,0.7287174463272095,77.49999761581421,0.6870755553245544,9.0,77.70000100135803,77.70000100135803,76.74000263214111,0.7174558639526367,,,1.239997148513794,-0.04164189100265503,21-40
mwm_accdiff_all_ce_cf,1,40,2,ce_peer,7.0,76.62000060081482,0.1,76.34000182151794,0.7162453532218933,76.30000114440918,0.6963375806808472,,,,,,,,-0.04000067710876465,-0.019907772541046143,21-40
mwm_accdiff_all_ce_cf,1,40,5,ce_peer,9.0,77.70000100135803,0.1,72.93999791145325,0.8056460022926331,75.99999904632568,0.7049691081047058,,,,,,,,3.0600011348724365,-0.10067689418792725,21-40
mwm_accdiff_all_ce_cf,1,40,1,ce_peer,3.0,76.38000249862671,0.1,75.73999762535095,0.7116967439651489,73.94000291824341,0.7734006643295288,,,,,,,,-1.799994707107544,0.06170392036437988,21-40
mwm_accdiff_all_ce_cf,1,41,8,ce_peer,4.0,77.66000032424927,0.1,74.68000054359436,0.7148033976554871,75.16000270843506,0.7138341665267944,,,,,,,,0.48000216484069824,-0.000969231128692627,41-60
mwm_accdiff_all_ce_cf,1,41,3,ce_peer,9.0,77.70000100135803,0.1,76.38000249862671,0.70525062084198,75.55999755859375,0.7046433091163635,,,,,,,,-0.820004940032959,-0.0006073117256164551,41-60
mwm_accdiff_all_ce_cf,1,41,1,ce_peer,7.0,76.62000060081482,0.1,73.94000291824341,0.7734006643295288,76.66000127792358,0.7149599194526672,,,,,,,,2.719998359680176,-0.05844074487686157,41-60
mwm_accdiff_all_ce_cf,1,41,2,ce,,,0.1,76.30000114440918,0.6963375806808472,75.3600001335144,0.7280571460723877,9.0,77.70000100135803,77.70000100135803,76.0200023651123,0.7473180294036865,,,-0.9400010108947754,0.03171956539154053,41-60
mwm_accdiff_all_ce_cf,1,41,5,ce_peer,6.0,77.49999761581421,0.1,75.99999904632568,0.7049691081047058,76.09999775886536,0.7001028656959534,,,,,,,,0.09999871253967285,-0.004866242408752441,41-60
mwm_accdiff_all_ce_cf,1,42,8,ce_peer,4.0,77.66000032424927,0.1,75.16000270843506,0.7138341665267944,74.00000095367432,0.7698730826377869,,,,,,,,-1.1600017547607422,0.05603891611099243,41-60
mwm_accdiff_all_ce_cf,1,42,2,ce_peer,1.0,76.66000127792358,0.1,75.3600001335144,0.7280571460723877,75.1200020313263,0.7324219346046448,,,,,,,,-0.23999810218811035,0.00436478853225708,41-60
mwm_accdiff_all_ce_cf,1,42,5,ce,,,0.1,76.09999775886536,0.7001028656959534,74.94000196456909,0.7653512358665466,9.0,77.70000100135803,77.70000100135803,75.63999891281128,0.7497732043266296,,,-1.1599957942962646,0.06524837017059326,41-60
