condition,seed,round,pre_acc,arm,d_acc,minus_kd,broken,fixed_peer_agree,fixed_peer_disagree,changed,kl,weight_change_backbone,weight_change_head
ce_head,2,58,36.5200012922287,kd,-0.34000277519226074,0.0,2.160000056028366,0.839999970048666,0.9800000116229057,8.35999995470047,0.03208257630467415,0.06858972599660894,0.08687100380317354
ce_head,2,58,36.5200012922287,ce_head,-2.7200013399124146,-2.379998564720154,7.999999821186066,4.540000110864639,0.7400000002235174,27.57999897003174,0.24339891970157623,0.0,0.5987028585025771
ce_head,2,58,36.5200012922287,ce,8.159998059272766,8.500000834465027,11.720000207424164,18.219999969005585,1.6599999740719795,57.77999758720398,0.6635634899139404,0.0901019421815754,0.4605000515781245
ce_head,2,58,36.5200012922287,ce_lowlr,5.159997940063477,5.500000715255737,7.2200000286102295,11.020000278949738,1.360000018030405,37.74000108242035,0.35440999269485474,0.01636431247590447,0.13301189808728744
ce_head,2,59,36.160001158714294,kd,0.279998779296875,0.0,2.0800000056624413,0.6599999964237213,1.7000000923871994,9.799999743700027,0.04117423668503761,0.08523305192801446,0.11145555456085865
ce_head,2,59,36.160001158714294,ce_head,0.339999794960022,0.06000101566314697,4.619999974966049,3.4200001507997513,1.5399999916553497,20.720000565052032,0.25126293301582336,0.0,0.6761841137043775
ce_head,2,59,36.160001158714294,ce,14.739999175071716,14.460000395774841,8.860000222921371,20.659999549388885,2.940000034868717,54.83999848365784,0.9420300722122192,0.42445051742984097,0.48167139745399695
ce_head,2,59,36.160001158714294,ce_lowlr,8.239999413490295,7.96000063419342,7.06000030040741,12.700000405311584,2.6000000536441803,41.440001130104065,0.4947715401649475,0.10065976227976745,0.12556642576825322
ce_head,2,60,36.57999932765961,kd,-0.6599992513656616,0.0,2.759999968111515,0.8999999612569809,1.2000000104308128,10.040000081062317,0.03996602073311806,0.0897323218446473,0.075042451946929
ce_head,2,60,36.57999932765961,ce_head,-2.0799994468688965,-1.4200001955032349,9.179999679327011,5.860000103712082,1.2400000356137753,30.219998955726624,0.34856894612312317,0.0,0.88171852497344
ce_head,2,60,36.57999932765961,ce,10.519999265670776,11.179998517036438,13.840000331401825,21.68000042438507,2.67999991774559,64.06000256538391,1.0943421125411987,0.4876638454535803,0.6078151270925036
