cond,seed,round,student,pre_acc,arm,val_acc_change,val_agree_peer_change,val_broken,val_fixed_peer_agree,val_fixed_peer_disagree,val_changed,val_changed_to_peer,val_kl,val_conf_change,val_share_wrong_agree_peer,val_share_wrong_disagree_peer,val_agree_peer_before,val_acc_before,train_acc_change,train_agree_peer_change,train_broken,train_fixed_peer_agree,train_fixed_peer_disagree,train_changed,train_changed_to_peer,train_kl,train_conf_change,train_share_wrong_agree_peer,train_share_wrong_disagree_peer,train_agree_peer_before,train_acc_before,weight_change_backbone,weight_change_head,swap_new_backbone_old_head,swap_old_backbone_new_head
CE-shaped,0,13,5,64.56000208854675,kd,1.8599987030029297,13.879996538162231,9.279999881982803,1.1800000444054604,9.960000216960907,29.179999232292175,19.179999828338623,0.37197038531303406,0.006799398921430111,12.939999997615814,22.499999403953552,66.86000227928162,64.56000208854675,1.53999924659729,14.200001955032349,9.139999747276306,0.8600000292062759,9.82000008225441,27.939999103546143,18.700000643730164,0.3682182729244232,0.012207850813865662,12.42000013589859,21.279999613761902,68.77999901771545,66.29999876022339,0.1397283768994642,0.2888071473730327,1.8999993801116943,0.43999552726745605
CE-shaped,0,14,7,66.68000221252441,ce,1.0399997234344482,-0.0800013542175293,10.480000078678131,2.8599999845027924,8.659999817609787,30.059999227523804,11.20000034570694,0.3757725656032562,-0.021859439089894295,12.439999729394913,20.880000293254852,68.58000159263611,66.68000221252441,0.9999990463256836,0.18000006675720215,9.920000284910202,2.319999970495701,8.60000029206276,28.459998965263367,10.859999805688858,0.36993253231048584,-0.02168765477836132,11.240000277757645,20.11999934911728,70.27999758720398,68.63999962806702,0.1826773105506214,0.23657653978910573,1.239997148513794,0.23999810218811035
CE-shaped,0,14,7,66.68000221252441,kd,0.7200002670288086,12.73999810218811,9.539999812841415,1.0999999940395355,9.160000085830688,27.900001406669617,17.880000174045563,0.33347201347351074,0.013962477445602417,12.439999729394913,20.880000293254852,68.58000159263611,66.68000221252441,0.18000006675720215,12.18000054359436,9.239999949932098,0.6599999964237213,8.76000002026558,26.199999451637268,17.100000381469727,0.33102330565452576,0.01351148635149002,11.240000277757645,20.11999934911728,70.27999758720398,68.63999962806702,0.13377810982119404,0.2910199869978907,1.359999179840088,0.6199955940246582
CE-shaped,0,15,7,67.72000193595886,ce,-0.42000412940979004,-1.4400005340576172,11.580000072717667,2.6599999517202377,8.500000089406967,31.18000030517578,10.88000014424324,0.6431878209114075,0.052273351699113846,12.120000272989273,20.160000026226044,68.50000023841858,67.72000193595886,0.98000168800354,-1.0199964046478271,10.740000009536743,2.940000034868717,8.780000358819962,29.62000072002411,10.760000348091125,0.625194251537323,0.05336169898509979,11.159999668598175,19.200000166893005,70.45999765396118,69.6399986743927,0.195936911814948,0.24971351834803485,0.45999884605407715,0.2599954605102539
CE-shaped,0,15,7,67.72000193595886,kd,1.0399997234344482,14.499998092651367,10.180000215768814,0.9600000455975533,10.260000079870224,29.339998960494995,19.740000367164612,0.40696316957473755,0.036199405789375305,12.120000272989273,20.160000026226044,68.50000023841858,67.72000193595886,0.279998779296875,13.1600022315979,9.880000352859497,0.7000000216066837,9.459999948740005,27.480000257492065,18.26000064611435,0.38107532262802124,0.03236803784966469,11.159999668598175,19.200000166893005,70.45999765396118,69.6399986743927,0.14097904798593403,0.29638659381290133,1.8999993801116943,1.4599978923797607
CE-shaped,0,16,1,68.2200014591217,ce,-1.4999985694885254,-1.4999985694885254,11.339999735355377,1.9200000911951065,7.919999957084656,30.75999915599823,9.839999675750732,0.4967108368873596,-0.027517169713974,9.600000083446503,22.179999947547913,67.1999990940094,68.2200014591217,-0.6599962711334229,-1.660001277923584,10.980000346899033,2.160000056028366,8.160000294446945,30.300000309944153,10.000000149011612,0.4829491078853607,-0.02751801162958145,8.940000087022781,21.960000693798065,68.81999969482422,69.0999984741211,0.18292117743310057,0.23540972945760225,-1.4999985694885254,0.1199960708618164
CE-shaped,0,16,1,68.2200014591217,kd,-1.380002498626709,11.440002918243408,11.739999800920486,0.9399999864399433,9.4200000166893,30.86000084877014,18.080000579357147,0.47883740067481995,-0.02440194971859455,9.600000083446503,22.179999947547913,67.1999990940094,68.2200014591217,-0.45999884605407715,10.96000075340271,10.920000076293945,0.8999999612569809,9.560000151395798,29.30000126361847,17.499999701976776,0.4816371500492096,-0.02085704728960991,8.940000087022781,21.960000693798065,68.81999969482422,69.0999984741211,0.16103274989635247,0.28524193710779555,-1.1400043964385986,-1.2800037860870361
CE-shaped,0,17,9,68.26000213623047,ce,0.15999674797058105,-0.4999995231628418,9.82000008225441,2.5200000032782555,7.460000365972519,26.85999870300293,10.100000351667404,0.400422066450119,0.011730346828699112,11.460000276565552,20.28000056743622,69.77999806404114,68.26000213623047,0.6399989128112793,-0.8199989795684814,9.040000289678574,2.500000037252903,7.1800000965595245,25.380000472068787,9.139999747276306,0.3919249475002289,0.011826771311461926,10.360000282526016,19.380000233650208,71.93999886512756,70.26000022888184,0.19853083838255176,0.2638250822252584,0.9399950504302979,0.279998779296875
CE-shaped,0,17,9,68.26000213623047,kd,-0.5600035190582275,12.080001831054688,10.419999808073044,0.800000037997961,9.059999883174896,27.900001406669617,17.579999566078186,0.4274689555168152,0.019863909110426903,11.460000276565552,20.28000056743622,69.77999806404114,68.26000213623047,0.7799983024597168,11.220002174377441,9.139999747276306,0.7600000128149986,9.160000085830688,26.21999979019165,16.32000058889389,0.4306924343109131,0.02034485712647438,10.360000282526016,19.380000233650208,71.93999886512756,70.26000022888184,0.15965644684912114,0.30999488953448207,0.18000006675720215,0.0
CE-shaped,0,18,5,68.80000233650208,ce,1.4599978923797607,2.2599995136260986,8.720000088214874,2.0600000396370888,8.12000036239624,26.919999718666077,10.920000076293945,0.3748272657394409,-0.0379941463470459,9.700000286102295,21.50000035762787,67.22000241279602,68.80000233650208,3.040003776550293,2.959996461868286,7.699999958276749,1.8200000748038292,8.919999748468399,25.339999794960022,10.779999941587448,0.3597700893878937,-0.04052421823143959,8.399999886751175,20.239999890327454,69.40000057220459,71.35999798774719,0.20772722813426547,0.2277231749060961,1.1799991130828857,0.9399950504302979
CE-shaped,0,18,5,68.80000233650208,kd,-2.0799994468688965,12.479996681213379,13.099999725818634,0.9200000204145908,10.100000351667404,33.46000015735626,19.679999351501465,0.5872531533241272,-0.022154550999403,9.700000286102295,21.50000035762787,67.22000241279602,68.80000233650208,-1.5599966049194336,11.04000210762024,12.5,0.7799999788403511,10.159999877214432,31.259998679161072,18.379999697208405,0.5519380569458008,-0.028383368626236916,8.399999886751175,20.239999890327454,69.40000057220459,71.35999798774719,0.16091069039900124,0.2846978740197489,-1.1800050735473633,1.5599966049194336
CE-shaped,0,19,8,70.21999955177307,ce,-0.40000081062316895,0.6600022315979004,10.100000351667404,2.019999921321869,7.680000364780426,26.679998636245728,10.440000146627426,0.41162142157554626,0.022278690710663795,10.180000215768814,19.599999487400055,68.91999840736389,70.21999955177307,-1.1599957942962646,-0.1999974250793457,10.119999945163727,1.9200000911951065,7.039999961853027,25.040000677108765,9.300000220537186,0.3921262323856354,0.025417868047952652,9.099999815225601,16.87999963760376,72.33999967575073,74.01999831199646,0.20148131142354356,0.22807243573347988,0.1399993896484375,1.0399997234344482
CE-shaped,0,19,8,70.21999955177307,kd,-3.4600019454956055,11.779999732971191,14.159999787807465,0.9800000116229057,9.719999879598618,32.580000162124634,19.82000023126602,0.527268648147583,0.006993751507252455,10.180000215768814,19.599999487400055,68.91999840736389,70.21999955177307,-4.739999771118164,8.75999927520752,13.979999721050262,1.0400000028312206,8.20000022649765,30.140000581741333,17.20000058412552,0.48742735385894775,0.006083023268729448,9.099999815225601,16.87999963760376,72.33999967575073,74.01999831199646,0.151801316696343,0.2723028867076401,-0.7600009441375732,0.8199989795684814
