mode,teacher,seed,epoch,phase,lr,val_acc,delta_acc,val_loss,probe_ce_loss,branch_kd_val_acc,pre_acc,phase1_epochs
ce_only,none,0,28,ce,0.1,78.14000248908997,-0.29999613761901855,0.6601069569587708,0.5027381950378418,,78.43999862670898,50
ce_only,none,0,29,ce,0.1,77.7400016784668,-0.40000081062316895,0.6903784871101379,0.5162701789855957,,78.14000248908997,50
ce_only,none,0,30,ce,0.1,76.2399971485138,-1.500004529953003,0.7304837703704834,0.5680119598388672,,77.7400016784668,50
ce_only,none,0,31,ce,0.1,78.79999876022339,2.5600016117095947,0.6231279373168945,0.48962955474853515,,76.2399971485138,50
ce_only,none,0,32,ce,0.1,77.64000296592712,-1.1599957942962646,0.6492419242858887,0.4724013809204102,,78.79999876022339,50
ce_only,none,0,33,ce,0.1,79.339998960495,1.699995994567871,0.6035083532333374,0.4390858451843262,,77.64000296592712,50
ce_only,none,0,34,ce,0.1,76.39999985694885,-2.9399991035461426,0.7699135541915894,0.5652062591552734,,79.339998960495,50
ce_only,none,0,35,ce,0.1,79.04000282287598,2.640002965927124,0.6210155487060547,0.4689924705505371,,76.39999985694885,50
ce_only,none,0,36,ce,0.1,77.75999903678894,-1.2800037860870361,0.6686051487922668,0.49285868530273436,,79.04000282287598,50
ce_only,none,0,37,ce,0.1,79.8799991607666,2.120000123977661,0.5998719930648804,0.44670922164916993,,77.75999903678894,50
ce_only,none,0,38,ce,0.1,78.53999733924866,-1.3400018215179443,0.6614702343940735,0.48390645904541013,,79.8799991607666,50
ce_only,none,0,39,ce,0.1,77.7400016784668,-0.7999956607818604,0.6926020979881287,0.5185851913452149,,78.53999733924866,50
ce_only,none,0,40,ce,0.1,77.53999829292297,-0.20000338554382324,0.6711772680282593,0.504564208984375,,77.7400016784668,50
ce_only,none,0,41,ce,0.1,76.09999775886536,-1.4400005340576172,0.7535858154296875,0.5521662414550781,,77.53999829292297,50
ce_only,none,0,42,ce,0.1,79.24000024795532,3.140002489089966,0.6335985064506531,0.4758390899658203,,76.09999775886536,50
ce_only,none,0,43,ce,0.1,79.97999787330627,0.7399976253509521,0.5890529155731201,0.4337744682312012,,79.24000024795532,50
ce_only,none,0,44,ce,0.1,79.73999977111816,-0.23999810218811035,0.6227550506591797,0.4376527816772461,,79.97999787330627,50
ce_only,none,0,45,ce,0.1,78.39999794960022,-1.3400018215179443,0.6630449891090393,0.4744995819091797,,79.73999977111816,50
ce_only,none,0,46,ce,0.1,79.37999963760376,0.98000168800354,0.6119096875190735,0.4230350257873535,,78.39999794960022,50
ce_only,none,0,47,ce,0.1,77.46000289916992,-1.919996738433838,0.6847670674324036,0.5175847259521484,,79.37999963760376,50
ce_only,none,0,48,ce,0.1,79.47999835014343,2.0199954509735107,0.6003187298774719,0.4417467102050781,,77.46000289916992,50
ce_only,none,0,49,ce,0.1,79.00000214576721,-0.4799962043762207,0.6513521075248718,0.4672617660522461,,79.47999835014343,50
