method,model_idx,sigma,repeat,accuracy,loss,acc_drop,loss_increase
CelNet,5,0.01,4,84.32,0.4626084214568138,0.020000000000010232,0.0018545766234397965
CelNet,5,0.02,0,84.42,0.459152011013031,-0.0799999999999983,-0.0016018338203430127
CelNet,5,0.02,1,84.44,0.46261739798784257,-0.09999999999999432,0.0018635531544685668
CelNet,5,0.02,2,84.26,0.4627209628343582,0.0799999999999983,0.0019671180009842026
CelNet,5,0.02,3,84.25,0.4643431586146355,0.09000000000000341,0.003589313781261483
CelNet,5,0.02,4,84.28,0.46580448174476624,0.060000000000002274,0.005050636911392237
CelNet,5,0.05,0,84.5,0.4617926096200943,-0.1599999999999966,0.0010387647867202698
CelNet,5,0.05,1,83.99,0.47488443316221235,0.3500000000000085,0.014130588328838345
CelNet,5,0.05,2,83.88,0.47024766092300413,0.46000000000000796,0.009493816089630125
CelNet,5,0.05,3,83.84,0.477260720872879,0.5,0.016506876039505014
CelNet,5,0.05,4,83.81,0.48267934701442716,0.5300000000000011,0.021925502181053158
CelNet,5,0.1,0,84.0,0.48125798580646517,0.3400000000000034,0.020504140973091167
CelNet,5,0.1,1,82.49,0.521977908539772,1.8500000000000085,0.06122406370639799
CelNet,5,0.1,2,83.42,0.4953837931275368,0.9200000000000017,0.03462994829416277
CelNet,5,0.1,3,82.52,0.5200394037485123,1.8200000000000074,0.059285558915138314
CelNet,5,0.1,4,82.01,0.5367882490634919,2.3299999999999983,0.07603440423011787
CelNet,5,0.2,0,80.31,0.5966386744976043,4.030000000000001,0.13588482966423032
CelNet,5,0.2,1,76.76,0.7286269477128983,7.579999999999998,0.26787310287952426
CelNet,5,0.2,2,79.9,0.5990555728316307,4.439999999999998,0.13830172799825668
CelNet,5,0.2,3,76.38,0.702769850730896,7.960000000000008,0.24201600589752204
CelNet,5,0.2,4,74.86,0.762419511795044,9.480000000000004,0.30166566696166996
CelNet,6,0.0,0,83.85,0.4841699560403824,0.0,0.0
CelNet,6,0.01,0,83.77,0.48568868219852446,0.0799999999999983,0.0015187261581420808
CelNet,6,0.01,1,83.85,0.48507025299072265,0.0,0.0009002969503402736
CelNet,6,0.01,2,83.83,0.4851442637205124,0.01999999999999602,0.0009743076801300155
CelNet,6,0.01,3,83.92,0.4833615777492523,-0.07000000000000739,-0.000808378291130063
CelNet,6,0.01,4,83.88,0.48386271352767946,-0.030000000000001137,-0.000307242512702921
CelNet,6,0.02,0,83.58,0.48783561911582946,0.269999999999996,0.0036656630754470787
CelNet,6,0.02,1,83.65,0.4866382686853409,0.19999999999998863,0.0024683126449585036
CelNet,6,0.02,2,83.7,0.48682594299316406,0.14999999999999147,0.002655986952781686
CelNet,6,0.02,3,83.89,0.48316260130405425,-0.04000000000000625,-0.0010073547363281254
CelNet,6,0.02,4,83.77,0.484225134396553,0.0799999999999983,5.51783561706376e-05
CelNet,6,0.05,0,83.18,0.497716387462616,0.6699999999999875,0.013546431422233607
CelNet,6,0.05,1,83.24,0.4952459572076797,0.6099999999999994,0.011076001167297345
CelNet,6,0.05,2,83.26,0.49642790184020996,0.5899999999999892,0.012257945799827585
CelNet,6,0.05,3,83.65,0.4860001121044159,0.19999999999998863,0.001830156064033528
CelNet,6,0.05,4,83.63,0.48974716632366183,0.21999999999999886,0.0055772102832794546
CelNet,6,0.1,0,81.96,0.5254884948253632,1.8900000000000006,0.04131853878498082
CelNet,6,0.1,1,82.36,0.5231291495084762,1.4899999999999949,0.038959193468093845
CelNet,6,0.1,2,82.14,0.5292788197517395,1.7099999999999937,0.04510886371135714
CelNet,6,0.1,3,82.7,0.5031000266075134,1.1499999999999915,0.01893007056713103
CelNet,6,0.1,4,82.68,0.5154944691181182,1.1699999999999875,0.03132451307773587
CelNet,6,0.2,0,78.12,0.6286507368087768,5.72999999999999,0.14448078076839443
CelNet,6,0.2,1,78.56,0.6418096296310425,5.289999999999992,0.1576396735906601
CelNet,6,0.2,2,77.09,0.6821983749866486,6.759999999999991,0.19802841894626622
CelNet,6,0.2,3,79.5,0.5947822149276734,4.349999999999994,0.11061225888729098
CelNet,6,0.2,4,78.63,0.6563749808073044,5.219999999999999,0.172205024766922
CelNet,7,0.0,0,83.59,0.47858973557949064,0.0,0.0
CelNet,7,0.01,0,83.56,0.47890208077430724,0.030000000000001137,0.00031234519481659895
CelNet,7,0.01,1,83.66,0.4785072751998901,-0.06999999999999318,-8.24603796005241e-05
CelNet,7,0.01,2,83.72,0.47807596142292025,-0.12999999999999545,-0.0005137741565703902
CelNet,7,0.01,3,83.54,0.47873698153495786,0.04999999999999716,0.0001472459554672234
CelNet,7,0.01,4,83.55,0.47850422019958494,0.04000000000000625,-8.551537990569846e-05
CelNet,7,0.02,0,83.57,0.4798264442682266,0.020000000000010232,0.001236708688735988
CelNet,7,0.02,1,83.59,0.4795185554265976,0.0,0.0009288198471069653
CelNet,7,0.02,2,83.76,0.47811965131759643,-0.1700000000000017,-0.00047008426189421026
CelNet,7,0.02,3,83.47,0.47939532449245453,0.12000000000000455,0.0008055889129638949
