group,seed,round_index,relative_round,phase,val_acc,delta_acc,cos_ce_kl,g_ce_norm,g_kl_norm
0.1,123,78,-22,kl,86.34,-0.20000000000000284,0.476468563079834,0.5845617651939392,1.0851112604141235
0.1,123,79,-21,kl,86.82,0.47999999999998977,0.4244310259819031,0.5750650763511658,1.0999029874801636
0.1,123,80,-20,kl,86.54,-0.2799999999999869,0.4604026675224304,0.5879899263381958,1.0785746574401855
0.1,123,81,-19,kl,86.76,0.21999999999999886,0.4315979480743408,0.5770444869995117,0.9938250184059143
0.1,123,82,-18,kl,86.98,0.21999999999999886,0.41540589928627014,0.569706916809082,0.9770293831825256
0.1,123,83,-17,kl,86.78,-0.20000000000000284,0.41468703746795654,0.56993567943573,1.002930998802185
0.1,123,84,-16,kl,86.82,0.03999999999999204,0.4225918650627136,0.5724307894706726,0.998117208480835
0.1,123,85,-15,kl,86.68,-0.13999999999998636,0.422094464302063,0.5760794878005981,0.9953975081443787
0.1,123,86,-14,kl,86.94,0.2599999999999909,0.43577346205711365,0.5790421366691589,0.9924598932266235
0.1,123,87,-13,kl,86.74,-0.20000000000000284,0.42972663044929504,0.5751444101333618,0.9798921942710876
0.1,123,88,-12,kl,86.62,-0.11999999999999034,0.4219176173210144,0.5729615688323975,0.9795633554458618
0.1,123,89,-11,kl,86.56,-0.060000000000002274,0.3935267925262451,0.5622953176498413,0.9358458518981934
0.1,123,90,-10,kl,86.78,0.21999999999999886,0.37855011224746704,0.5628225207328796,0.9206327795982361
0.1,123,91,-9,kl,87.02,0.23999999999999488,0.40876954793930054,0.5744490027427673,0.9476033449172974
0.1,123,92,-8,kl,86.84,-0.1799999999999926,0.42340731620788574,0.582420825958252,0.9627418518066406
0.1,123,93,-7,kl,86.52,-0.3200000000000074,0.4280734062194824,0.5823202133178711,0.982373833656311
0.1,123,94,-6,kl,86.72,0.20000000000000284,0.4183689057826996,0.5776036977767944,0.9625391364097595
