group,seed,round_index,relative_round,phase,val_acc,delta_acc,cos_ce_kl,g_ce_norm,g_kl_norm
0.9,123,92,-8,kl,85.74,0.09999999999999432,0.3088722229003906,0.5154153108596802,0.7233920693397522
0.9,123,93,-7,kl,85.52,-0.21999999999999886,0.32488662004470825,0.5188325047492981,0.7193343639373779
0.9,123,94,-6,kl,85.8,0.28000000000000114,0.3231145143508911,0.5220972299575806,0.7642428874969482
0.9,123,95,-5,kl,85.92,0.12000000000000455,0.30546921491622925,0.5196141600608826,0.7733042240142822
0.9,123,96,-4,kl,85.74,-0.18000000000000682,0.3033702075481415,0.5188909769058228,0.7524763345718384
0.9,123,97,-3,kl,85.9,0.1600000000000108,0.3270817995071411,0.5270660519599915,0.759336531162262
0.9,123,98,-2,kl,85.46,-0.44000000000001194,0.3122662305831909,0.5219091773033142,0.751965343952179
0.9,123,99,-1,kl,85.62,0.1600000000000108,0.3216996490955353,0.5271600484848022,0.7503411769866943
0.9,123,100,0,kl,85.62,0.0,0.30522987246513367,0.5211527347564697,0.7555825710296631
0.9,123,101,1,ce,85.76,0.14000000000000057,0.056572526693344116,0.4509422481060028,1.468255639076233
0.9,123,102,2,ce,85.68,-0.0799999999999983,0.033990342170000076,0.4294493496417999,1.6857818365097046
0.9,123,103,3,ce,85.56,-0.12000000000000455,0.05096180737018585,0.43168210983276367,1.7776875495910645
0.9,123,104,4,ce,85.56,0.0,0.03190650790929794,0.4245520234107971,1.7666022777557373
0.9,123,105,5,ce,85.82,0.2599999999999909,0.03340668976306915,0.4181846082210541,1.8140065670013428
0.9,123,106,6,ce,85.86,0.04000000000000625,0.04619447886943817,0.4285438358783722,1.8124524354934692
0.9,123,107,7,ce,85.82,-0.04000000000000625,0.045518722385168076,0.42774713039398193,1.8289152383804321
0.9,123,108,8,ce,85.74,-0.0799999999999983,0.06351041048765182,0.43719348311424255,1.8122090101242065
0.9,123,109,9,ce,85.98,0.2400000000000091,0.05481506884098053,0.42893895506858826,1.811533808708191
0.9,123,110,10,ce,85.62,-0.35999999999999943,0.06555358320474625,0.441950261592865,1.8161276578903198
0.9,123,111,11,ce,85.82,0.19999999999998863,0.060126710683107376,0.4355762004852295,1.8150545358657837
0.9,123,112,12,ce,85.96,0.14000000000000057,0.05904243141412735,0.4393088221549988,1.7926552295684814
0.9,123,113,13,ce,85.88,-0.0799999999999983,0.07295901328325272,0.4470956027507782,1.7903257608413696
0.9,123,114,14,ce,85.96,0.0799999999999983,0.05815348029136658,0.43620187044143677,1.7962366342544556
0.9,123,115,15,ce,86.04,0.0800000000000125,0.08548268675804138,0.4528784453868866,1.7891688346862793
0.9,123,116,16,ce,86.0,-0.04000000000000625,0.057641930878162384,0.43815943598747253,1.7774578332901
0.9,123,117,17,ce,85.94,-0.060000000000002274,0.05729291960597038,0.4452042579650879,1.7392209768295288
0.9,123,118,18,ce,86.06,0.12000000000000455,0.055115047842264175,0.4428834319114685,1.7639676332473755
0.9,123,119,19,ce,86.04,-0.01999999999999602,0.07462151348590851,0.45180147886276245,1.7628424167633057
0.9,123,120,20,ce,86.0,-0.04000000000000625,0.07686667889356613,0.45937883853912354,1.7352780103683472
0.9,123,121,21,ce,85.94,-0.060000000000002274,0.0692509263753891,0.4544781744480133,1.7426154613494873
0.9,123,122,22,ce,86.18,0.2400000000000091,0.05549447983503342,0.44886958599090576,1.7167439460754395
0.9,123,123,23,ce,86.12,-0.060000000000002274,0.059038713574409485,0.4483869671821594,1.7184745073318481
0.9,123,124,24,ce,86.1,-0.020000000000010232,0.06701301038265228,0.4519047141075134,1.7223385572433472
0.9,123,125,25,ce,86.16,0.060000000000002274,0.07903742045164108,0.4541865587234497,1.7425343990325928
0.9,123,126,26,ce,85.94,-0.21999999999999886,0.07966503500938416,0.4570283591747284,1.7256299257278442
0.9,123,127,27,ce,85.94,0.0,0.10646548122167587,0.47681647539138794,1.7116953134536743
0.9,123,128,28,ce,86.12,0.18000000000000682,0.08605413883924484,0.4561333656311035,1.7393438816070557
0.9,123,129,29,ce,86.14,0.01999999999999602,0.07230532169342041,0.4459081292152405,1.7050613164901733
0.9,123,130,30,ce,86.18,0.04000000000000625,0.07273522019386292,0.45611968636512756,1.6822806596755981
0.9,123,131,31,ce,86.12,-0.060000000000002274,0.06537634879350662,0.450930655002594,1.6890075206756592
0.9,123,132,32,ce,86.16,0.03999999999999204,0.0741984099149704,0.455003947019577,1.6718742847442627
0.9,123,133,33,ce,86.08,-0.0799999999999983,0.08631102740764618,0.45882096886634827,1.7103768587112427
0.9,123,134,34,ce,85.88,-0.20000000000000284,0.08851299434900284,0.46135440468788147,1.7037392854690552
0.9,123,135,35,ce,86.18,0.30000000000001137,0.08807045966386795,0.4615471661090851,1.7015656232833862
0.9,123,136,36,ce,85.84,-0.3400000000000034,0.08799171447753906,0.46296191215515137,1.6992930173873901
0.9,123,137,37,ce,85.92,0.0799999999999983,0.08904673904180527,0.4625321924686432,1.698936939239502
0.9,123,138,38,ce,85.98,0.060000000000002274,0.09577705711126328,0.465537428855896,1.7012311220169067
0.9,123,139,39,ce,86.12,0.14000000000000057,0.0956280380487442,0.4655005633831024,1.6986802816390991
0.9,123,140,40,ce,85.9,-0.21999999999999886,0.0957380011677742,0.4648990035057068,1.6960078477859497
0.9,123,141,41,ce,85.96,0.05999999999998806,0.09350854158401489,0.4652016758918762,1.6898401975631714
0.9,123,142,42,ce,86.14,0.18000000000000682,0.09121423959732056,0.4637271463871002,1.6866586208343506
0.9,123,143,43,ce,85.98,-0.1599999999999966,0.09404847025871277,0.46581926941871643,1.6846590042114258
0.9,123,144,44,ce,86.12,0.14000000000000057,0.09484151750802994,0.4656050503253937,1.682904839515686
