mode,teacher,seed,teacher_objective,teacher_test_acc,teacher_train_ce_loss,teacher_train_acc,test_at_switch,test_final,val_at_switch,val_final,val_peak_after,probe_ce_loss_at_switch,probe_acc_at_switch,probe_ce_loss_final,probe_acc_final,ece_at_switch,ece_final,agree_at_switch,agree_final,test_change,val_change
kd_only,ce_e50,7,ce,79.68999743461609,0.4134262031555176,85.86,80.72999715805054,80.51000237464905,79.75999712944031,79.8200011253357,80.09999990463257,0.4377034309387207,84.64,0.4336881881713867,84.56,0.03598357767816762,0.03352862565598393,90.46000242233276,90.65999984741211,-0.21999478340148926,0.06000399589538574
kd_only,ce_e50,8,ce,79.68999743461609,0.4134262031555176,85.86,80.30999898910522,80.59999942779541,80.33999800682068,80.46000003814697,80.68000078201294,0.4313423965454102,84.9,0.42862122726440427,84.86,0.0325818270117655,0.02940106401041859,90.64000248908997,91.03999733924866,0.29000043869018555,0.12000203132629395
kd_only,ce_e50,9,ce,79.68999743461609,0.4134262031555176,85.86,80.46000003814697,80.41999936103821,80.41999936103821,79.97999787330627,80.50000071525574,0.43070103759765627,84.94,0.4295271980285644,84.9,0.03164689446678098,0.033602103833740515,90.97999930381775,91.29999876022339,-0.04000067710876465,-0.4400014877319336
kd_only,ce_e100,0,ce,85.90999841690063,0.10524831523895263,96.14,86.33999824523926,86.2600028514862,85.87999939918518,85.75999736785889,86.23999953269958,0.20936939086914064,92.86,0.1999384994506836,93.16,0.07397688346378542,0.07732788242162911,89.25999999046326,89.38000202178955,-0.07999539375305176,-0.12000203132629395
kd_only,ce_e100,1,ce,85.90999841690063,0.10524831523895263,96.14,85.67000031471252,85.74000000953674,85.97999811172485,86.51999831199646,86.54000163078308,0.2089266284942627,92.86,0.1893818073272705,93.34,0.07254090655929835,0.06839587337147968,89.42000269889832,89.9399995803833,0.06999969482421875,0.5400002002716064
kd_only,ce_e100,2,ce,85.90999841690063,0.10524831523895263,96.14,85.9000027179718,86.01999878883362,86.6599977016449,86.59999966621399,86.72000169754028,0.2020905647277832,93.18,0.18533831329345704,93.56,0.06706979869814829,0.06854424670135877,89.66000080108643,89.88000154495239,0.1199960708618164,-0.0599980354309082
kd_only,ce_e100,3,ce,85.90999841690063,0.10524831523895263,96.14,85.80999970436096,85.74000000953674,85.78000068664551,85.55999994277954,86.080002784729,0.1944440460205078,93.36,0.17858827629089355,93.58,0.07492581804786194,0.07795354265657109,89.17999863624573,89.20000195503235,-0.06999969482421875,-0.2200007438659668
kd_only,ce_e100,4,ce,85.90999841690063,0.10524831523895263,96.14,86.44999861717224,86.40000224113464,85.83999872207642,86.10000014305115,86.41999959945679,0.20216681365966796,93.02,0.18522405548095702,93.54,0.0745343811652362,0.07179732711440855,88.85999917984009,89.20000195503235,-0.049996376037597656,0.26000142097473145
kd_only,ce_e100,5,ce,85.90999841690063,0.10524831523895263,96.14,86.11999750137329,86.16999983787537,85.75999736785889,86.01999878883362,86.28000020980835,0.20501366271972657,92.9,0.188572554397583,93.62,0.07662680919273102,0.07487831091150596,89.53999876976013,89.66000080108643,0.050002336502075195,0.26000142097473145
kd_only,ce_e100,6,ce,85.90999841690063,0.10524831523895263,96.14,86.39000058174133,86.36000156402588,85.87999939918518,85.87999939918518,86.11999750137329,0.19454109649658202,93.3,0.17977636375427247,93.64,0.07466119140301053,0.07524329319290324,89.4599974155426,89.74000215530396,-0.0299990177154541,0.0
kd_only,ce_e100,7,ce,85.90999841690063,0.10524831523895263,96.14,86.72999739646912,86.68000102043152,86.04000210762024,86.15999817848206,86.50000095367432,0.21235835914611817,92.48,0.19097905616760255,93.46,0.07250234350207312,0.07107425723016951,89.74000215530396,89.9399995803833,-0.049996376037597656,0.1199960708618164
kd_only,ce_e100,8,ce,85.90999841690063,0.10524831523895263,96.14,86.18999719619751,86.40000224113464,86.36000156402588,86.77999973297119,86.77999973297119,0.19926331672668457,92.74,0.18596708984375,93.46,0.07202036321778812,0.07082965832263971,89.819997549057,89.6399974822998,0.2100050449371338,0.4199981689453125
kd_only,ce_e100,9,ce,85.90999841690063,0.10524831523895263,96.14,86.3099992275238,86.32000088691711,86.58000230789185,86.22000217437744,86.58000230789185,0.19812179298400878,93.24,0.1872296115875244,93.56,0.06770275661163878,0.07014663929136997,89.6399974822998,89.3999993801117,0.010001659393310547,-0.3600001335144043
kd_only,kd_g1,0,kd,84.579998254776,0.29533384704589843,90.8,85.0600004196167,84.89000201225281,84.8800003528595,84.83999967575073,85.33999919891357,0.3289723709106445,89.5,0.32702445373535155,89.68,0.07593985821167039,0.07690766934997863,90.67999720573425,90.70000052452087,-0.1699984073638916,-0.04000067710876465
kd_only,kd_g1,1,kd,84.579998254776,0.29533384704589843,90.8,85.14000177383423,85.14999747276306,84.579998254776,84.34000015258789,84.89999771118164,0.3352000473022461,89.52,0.3285873847961426,89.62,0.08154392405759107,0.0824803618760339,90.7800018787384,90.93999862670898,0.009995698928833008,-0.23999810218811035
kd_only,kd_g1,2,kd,84.579998254776,0.29533384704589843,90.8,84.89000201225281,84.8800003528595,85.0600004196167,85.180002450943,85.180002450943,0.3428865455627441,89.02,0.3351611785888672,89.36,0.07743335416212507,0.07582178292191102,90.97999930381775,91.06000065803528,-0.010001659393310547,0.12000203132629395
kd_only,kd_g1,3,kd,84.579998254776,0.29533384704589843,90.8,85.19999980926514,85.31000018119812,84.96000170707703,85.07999777793884,85.37999987602234,0.3291837127685547,89.72,0.3192247619628906,89.78,0.07894961747620423,0.07645211168426247,91.00000262260437,91.39999747276306,0.1100003719329834,0.1199960708618164
kd_only,kd_g1,4,kd,84.579998254776,0.29533384704589843,90.8,85.07999777793884,85.13000011444092,84.97999906539917,84.83999967575073,85.21999716758728,0.332908699798584,89.64,0.32690482635498047,89.94,0.07475454939602016,0.07687485385595022,90.75999855995178,91.24000072479248,0.050002336502075195,-0.1399993896484375
kd_only,kd_g1,5,kd,84.579998254776,0.29533384704589843,90.8,85.180002450943,85.03999710083008,84.60000157356262,84.65999960899353,84.82000231742859,0.3489700508117676,89.4,0.33920470123291013,89.58,0.08043735025229849,0.07841058777311324,90.7800018787384,91.15999937057495,-0.14000535011291504,0.0599980354309082
kd_only,kd_g1,6,kd,84.579998254776,0.29533384704589843,90.8,85.18999814987183,85.35000085830688,84.50000286102295,84.60000157356262,84.82000231742859,0.34526706466674806,89.24,0.3307293731689453,89.8,0.08304786739031511,0.0820584131884339,91.21999740600586,91.64000153541565,0.1600027084350586,0.09999871253967285
kd_only,kd_g1,7,kd,84.579998254776,0.29533384704589843,90.8,84.68999862670898,84.82000231742859,85.37999987602234,85.180002450943,85.61999797821045,0.345738240814209,89.38,0.3290290565490723,89.74,0.07480618186267791,0.07819082307017555,90.89999794960022,90.9600019454956,0.1300036907196045,-0.1999974250793457
kd_only,kd_g1,8,kd,84.579998254776,0.29533384704589843,90.8,84.78999733924866,85.07999777793884,84.56000089645386,84.78000164031982,84.97999906539917,0.34773541412353515,89.52,0.3409306106567383,89.52,0.0804155391115122,0.07927305876395424,91.10000133514404,91.36000275611877,0.29000043869018555,0.2200007438659668
